Név;Nem;Születésnap;Úszás;Kerékpár;Futás;Rajtszám
Illés Emese;n;1999.06.28;1:13:06;1:29:43;1:58:24;10361
Hegedüs Kitti;n;2002.01.23;2:29:33;2:23:48;2:40:34;10362
Orsós Anna;n;2000.09.27;2:02:53;1:19:54;2:40:01;10363
Budai Krisztina;n;1995.09.29;1:04:13;1:17:10;1:04:32;10364
Pataki Kata;n;1987.07.18;2:31:13;1:26:31;1:38:22;10365
Mészáros Boglárka;n;1990.02.11;1:46:46;2:06:14;2:43:10;10366
Bálint István;f;1992.01.22;2:17:20;2:01:32;1:35:18;10367
Bognár Boglárka;n;1980.08.15;2:12:51;1:08:29;2:17:00;10368
Máté József;f;2003.01.05;2:04:48;1:43:38;1:11:50;10369
Sándor Anna;n;1983.06.08;2:28:05;2:58:38;2:17:13;10370
Balog Gréta;n;1998.08.23;1:28:09;2:36:54;2:11:30;10371
Tóth Zoltán;f;1984.12.20;1:28:55;1:50:03;2:30:57;10372
Kis János;f;1980.04.21;1:28:35;1:05:04;2:42:06;10373
Török Martin;f;2002.01.15;2:24:25;2:14:08;2:13:57;10374
Nagy Regina;n;1994.03.04;1:17:44;2:03:01;1:50:18;10375
Szabó Balázs;f;2003.10.29;2:37:16;2:13:10;2:52:08;10376
Fábián Ramóna;n;1995.11.05;2:44:15;2:50:59;1:02:35;10377
Pál Bianka;n;1993.01.24;1:46:34;1:00:57;1:48:15;10378
Szilágyi Eszter;n;1982.05.15;1:58:00;2:23:19;2:27:02;10379
Farkas Boglárka;n;1996.11.25;2:14:54;2:19:08;1:57:07;10380
Horváth Barnabás;f;1985.11.13;2:22:19;1:17:00;1:00:59;10381
Kelemen Eszter;n;1988.01.21;1:59:40;1:20:04;1:37:17;10382
Fehér Jázmin;n;1989.07.30;2:50:48;2:09:34;1:08:46;10383
Nemes Anna;n;1992.07.08;1:20:04;2:39:38;2:26:51;10384
Kocsis Patrik;f;1985.02.03;2:03:35;2:03:10;2:18:32;10385
Gulyás Viktor;f;1986.02.25;2:28:11;1:40:11;2:34:11;10386
Rácz Benedek;f;2003.11.10;1:44:46;2:42:59;2:32:11;10387
Virág Csenge;n;1993.02.28;2:27:12;2:08:30;1:34:21;10388
Rácz Viktor;f;1979.12.29;1:55:22;2:24:16;1:57:08;10389
Szálai Benedek;f;1999.04.11;1:52:04;2:06:57;2:02:18;10390
Barta László;f;1983.04.28;2:03:17;1:47:54;2:26:15;10391
Soós Petra;n;1986.10.21;1:13:44;2:52:34;2:00:57;10392
Szilágyi Regina;n;1992.11.09;1:30:11;1:46:10;1:57:14;10393
Kovács László;f;1999.08.31;2:39:37;1:42:48;1:52:30;10394
